date,l_ipn,r_asn,f
9/1/06,0,209,1
9/1/06,0,701,2
9/1/06,0,1239,1
9/1/06,0,2152,1
9/1/06,0,2828,1
9/1/06,0,3216,1
9/1/06,0,3243,1
9/1/06,0,3549,1
9/1/06,0,3561,34
9/1/06,0,3671,11
9/1/06,0,4134,1
9/1/06,0,4323,2
9/1/06,0,4589,1
9/1/06,0,4725,952
9/1/06,0,4766,1
9/1/06,0,6432,1
9/1/06,0,6724,1
9/1/06,0,6939,1
9/1/06,0,7132,1
9/1/06,0,7738,1
9/1/06,0,8075,1
9/1/06,0,9121,1
9/1/06,0,9318,2
9/1/06,0,12021,2
9/1/06,0,12322,4
9/1/06,0,13156,1
9/1/06,0,13462,59
9/1/06,0,13989,1
9/1/06,0,19262,2
9/1/06,0,19290,2
9/1/06,0,19429,1
9/1/06,0,20115,1
9/1/06,0,22047,1
9/1/06,0,22291,1
9/1/06,0,22927,1
9/1/06,0,26831,1
9/1/06,0,30099,1
9/1/06,0,30222,1
9/1/06,0,33070,2
9/1/06,0,33657,1
9/1/06,0,33668,1
9/1/06,0,34194,1
9/1/06,0,34910,2
9/1/06,2,59,1
9/1/06,2,209,45
9/1/06,2,1241,5
9/1/06,2,1312,81
9/1/06,2,3557,1
9/1/06,2,3561,3
9/1/06,2,4323,4
9/1/06,2,4725,948
9/1/06,2,5650,118
9/1/06,2,7018,154
9/1/06,2,7132,86
9/1/06,2,7377,81
9/1/06,2,9318,1
9/1/06,2,11414,24
9/1/06,2,12322,954
9/1/06,2,14425,54
9/1/06,2,19181,1
9/1/06,2,19918,311
9/1/06,2,26803,1
9/1/06,2,29863,4
9/1/06,2,30099,6
9/1/06,2,33260,14
9/1/06,2,33650,27
9/1/06,2,33651,17
9/1/06,3,1668,2
9/1/06,3,2497,2
9/1/06,3,4725,1
9/1/06,3,7725,3
9/1/06,3,9318,2
9/1/06,3,14361,2
9/1/06,3,23859,1
9/1/06,3,25351,1
9/1/06,4,3561,6
9/1/06,4,4725,951
9/1/06,4,6428,1
9/1/06,4,7132,23
9/1/06,4,8001,1
9/1/06,4,9318,1
9/1/06,4,10970,1
9/1/06,4,12322,1
9/1/06,4,14778,2
9/1/06,4,23342,3
9/1/06,4,23859,635
9/1/06,4,31976,83
9/1/06,4,33651,275
9/1/06,5,209,1
9/1/06,5,1668,2
9/1/06,5,2152,4
9/1/06,5,2497,2
9/1/06,5,3561,1
9/1/06,5,4134,1
9/1/06,5,4725,1
9/1/06,5,7725,5
9/1/06,5,8070,5
9/1/06,5,8075,5
9/1/06,5,9318,2
9/1/06,5,12322,2
9/1/06,5,13867,3
9/1/06,5,14361,1
9/1/06,5,23859,1
9/1/06,5,25351,4
9/1/06,6,1668,2
9/1/06,6,2497,4
9/1/06,6,4134,1
9/1/06,6,4725,2
9/1/06,6,4812,1
9/1/06,6,4837,2
9/1/06,6,7725,6
9/1/06,6,9318,2
9/1/06,6,9394,4
9/1/06,6,14361,2
9/1/06,6,23859,1
9/1/06,6,25351,4
9/1/06,7,786,2
9/1/06,7,1221,2
9/1/06,7,1239,7
9/1/06,7,1668,2
9/1/06,7,2152,15
9/1/06,7,3320,2
9/1/06,7,3582,10
9/1/06,7,3701,2
9/1/06,7,7015,6
9/1/06,7,8070,3
9/1/06,7,8473,50
9/1/06,7,8560,1
9/1/06,7,9156,19
9/1/06,7,10763,2
9/1/06,7,11414,3
9/1/06,7,15169,85
9/1/06,7,18924,48
9/1/06,7,20940,1
9/1/06,7,21844,273
9/1/06,7,25351,4
9/1/06,7,36856,32
9/1/06,8,14,5
9/1/06,8,209,3
9/1/06,8,679,33
9/1/06,8,701,4
9/1/06,8,1221,1
9/1/06,8,1668,19
9/1/06,8,2152,15
9/1/06,8,2914,4
9/1/06,8,3356,2
9/1/06,8,3561,7
9/1/06,8,3595,2
9/1/06,8,3701,1
9/1/06,8,3999,23
9/1/06,8,4265,42
9/1/06,8,5662,64
9/1/06,8,6461,1
9/1/06,8,6724,10
9/1/06,8,7015,1
9/1/06,8,7342,3
9/1/06,8,7362,5
9/1/06,8,7393,2
9/1/06,8,8001,3
9/1/06,8,8075,4
9/1/06,8,8188,5
9/1/06,8,8560,4
9/1/06,8,10316,38
9/1/06,8,10565,2
9/1/06,8,10933,3
9/1/06,8,11078,5
9/1/06,8,11486,17
9/1/06,8,11743,7
9/1/06,8,11995,4
9/1/06,8,12222,4
9/1/06,8,13462,6
9/1/06,8,13827,6
9/1/06,8,15169,530
9/1/06,8,16807,1
9/1/06,8,17055,6
9/1/06,8,17557,226
9/1/06,8,21844,4
9/1/06,8,23504,5
9/1/06,8,25351,1
9/1/06,8,26228,2
9/1/06,8,29720,4
9/1/06,8,29791,5
9/1/06,8,30217,29
9/1/06,8,31883,1
9/1/06,8,36856,4
9/1/06,9,2152,1
9/1/06,9,8070,1
9/1/06,9,8075,2
9/2/06,0,701,4
9/2/06,0,3561,13
9/2/06,0,3671,28
9/2/06,0,4766,1
9/2/06,0,5617,1
9/2/06,0,5713,3
9/2/06,0,7132,4
9/2/06,0,7552,1
9/2/06,0,7738,1
9/2/06,0,9121,1
9/2/06,0,9318,1
9/2/06,0,10738,1
9/2/06,0,12312,2
9/2/06,0,12479,1
9/2/06,0,13462,41
9/2/06,0,13867,1
9/2/06,0,14779,3
9/2/06,0,15703,1
9/2/06,0,17488,3
9/2/06,0,17557,1
9/2/06,0,18302,11
9/2/06,0,20258,1
9/2/06,2,47,1
9/2/06,2,81,2
9/2/06,2,209,9
9/2/06,2,1241,2
9/2/06,2,1312,86
9/2/06,2,1853,6
9/2/06,2,3557,10
9/2/06,2,3561,11
9/2/06,2,4323,4
9/2/06,2,5650,14
9/2/06,2,6364,3
9/2/06,2,7018,144
9/2/06,2,7132,2
9/2/06,2,7377,85
9/2/06,2,9318,1
9/2/06,2,11414,2
9/2/06,2,13749,2
9/2/06,2,14425,11
9/2/06,2,15703,1
9/2/06,2,17557,1
9/2/06,2,18302,87
9/2/06,2,18530,3
9/2/06,2,19918,10
9/2/06,2,29863,6
9/2/06,2,30099,1
9/2/06,2,31405,4
9/2/06,2,33260,4
9/2/06,2,33650,628
9/2/06,2,33651,9
9/2/06,2,36384,4
9/2/06,3,1668,2
9/2/06,3,2152,2
9/2/06,3,4134,3
9/2/06,3,4755,1
9/2/06,3,4837,4
9/2/06,3,6128,2
9/2/06,3,6197,1
9/2/06,3,6461,6
9/2/06,3,7132,2
9/2/06,3,9318,2
9/2/06,3,11845,1
9/2/06,3,15703,2
9/2/06,3,17557,1
9/2/06,3,18302,1
9/2/06,3,18566,1
9/2/06,3,18942,2
9/2/06,4,4323,1
9/2/06,4,4755,7
9/2/06,4,7132,2
9/2/06,4,9318,1
9/2/06,4,15703,1
9/2/06,4,17557,1
9/2/06,4,18302,12
9/2/06,4,29895,30
9/2/06,4,31976,84
9/2/06,4,33651,43
